artist;title;url
Glenn Gould;Bach: The Goldberg Variations, BWV 988 (1981 Recording);https://www.youtube.com/watch?v=Ah392lnFHxM
Miles Davis;Sketches of Spain (1960);https://www.youtube.com/watch?v=mSS5p9BdNGU 
