name,subtitle
Self_US.jpg,Picture in the lift in West Village | Nov '24
House_US.jpg,A house on the West Coast | Nov '24
Tree_France.jpg,A tree on the French Alps | July '24
Billboard_US.jpg,Time Square | Oct '24
car_cape.JPG,A car in Hout Bay | Jan '24
House_US_2.jpg,A house in Massachussets | Nov '24
Kamala.jpg,A lost election in Massachussets | Nov '24
Liberty.jpg,Somewhere in Massachussets | Nov '24
Velo_2.jpg,Riding the Alps 1 | July '24
velo_3.jpg,Riding the Alps 2 | July '24
